,words,freq
0,one,906557
1,would,690431
2,said,676633
3,time,497213
4,man,462781
5,could,456325
6,mr,432383
7,nt,412730
8,upon,409986
9,like,407894
10,day,379900
11,come,371105
12,littl,370283
13,see,367827
14,great,363888
15,go,349457
16,may,346611
17,two,345245
18,say,340622
19,made,338923
20,know,330091
21,make,326610
22,us,326569
23,look,326552
24,good,316003
25,well,315064
26,much,300840
27,first,297032
28,men,286244
29,hand,286024
30,must,285918
31,even,280327
32,thing,270566
33,old,266602
34,never,262814
35,take,262793
36,place,262284
37,way,251786
38,year,249361
39,think,248067
40,life,247887
41,long,237797
42,came,236788
43,mani,236042
44,thought,230892
45,seem,230086
46,without,224855
47,everi,224726
48,call,220017
49,work,218198
50,love,217765
51,back,216968
52,shall,216686
53,eye,215627
54,might,215084
55,give,213175
56,state,208506
57,hous,207201
58,peopl,207132
59,gener,202910
60,last,201671
61,part,199403
62,yet,197426
63,word,197231
64,found,196897
65,still,196315
66,use,195674
67,new,191628
68,went,187922
69,get,186867
70,turn,180496
71,though,178793
72,de,178250
73,away,178224
74,ask,175381
75,live,174689
76,name,173823
77,right,173456
78,king,169717
79,face,168421
80,follow,168122
81,put,167999
82,noth,167713
83,head,167543
84,let,166466
85,anoth,166305
86,tell,165847
87,young,165599
88,three,163344
89,friend,159610
90,pass,158591
91,father,157464
92,god,157093
93,night,156527
94,also,156524
95,mean,156252
96,present,155148
97,natur,155101
98,mind,154338
99,left,153887
100,world,153712
101,find,153642
102,ever,153396
103,sir,152867
104,person,151107
105,want,150297
106,order,149990
107,countri,148877
108,ye,147934
109,appear,146123
110,saw,144296
111,took,142958
112,home,142413
113,power,141074
114,heart,141063
115,alway,139182
116,water,137249
117,side,137139
118,return,135308
119,end,135093
120,far,134603
121,open,132752
122,feel,132453
123,ladi,130505
124,lord,129481
125,leav,128304
126,answer,125300
127,whole,125109
128,point,124936
129,form,124356
130,moment,124010
131,among,123553
132,done,123402
133,light,121749
134,seen,120909
135,woman,120318
136,got,119893
137,offic,119466
138,letter,118707
139,told,118416
140,believ,118284
141,mother,117914
142,set,117291
143,better,117042
144,howev,117000
145,heard,115351
146,soon,114507
147,hour,114344
148,hope,113310
149,show,111564
150,cours,111438
151,knew,110984
152,someth,110265
153,morn,110260
154,room,109912
155,boy,109305
156,kind,109032
157,thu,109020
158,quit,108457
159,care,108327
160,war,108029
161,enough,107868
162,matter,107586
163,interest,107546
164,land,106343
165,carri,105273
166,case,105170
167,beauti,104594
168,reason,104436
169,read,104386
170,wish,104308
171,almost,103814
172,speak,103577
173,toward,103497
174,keep,103425
175,sinc,103340
176,arm,103248
177,girl,102899
178,whose,102843
179,white,102771
180,door,102769
181,receiv,102684
182,gave,102636
183,cri,102559
184,sever,101785
185,larg,101484
186,small,101440
187,taken,100513
188,other,99786
189,fact,99686
190,brought,99306
191,voic,99195
192,close,99012
193,death,98906
194,talk,97806
195,law,97732
196,best,97541
197,question,97438
198,stand,97097
199,given,96831
200,tri,96784
201,wife,96608
202,differ,95807
203,die,95541
204,next,94743
205,poor,94455
206,perhap,94305
207,forc,94096
208,miss,94049
209,govern,93261
210,line,93255
211,continu,93190
212,oh,92945
213,fire,92827
214,citi,92707
215,remain,92697
216,son,92686
217,caus,92562
218,sure,92198
219,hear,91971
220,near,91788
221,rather,91707
222,less,91398
223,busi,90250
224,becom,90183
225,till,90170
226,full,89725
227,act,89260
228,subject,88818
229,book,88625
230,fear,88623
231,high,88603
232,repli,88239
233,reach,87974
234,half,87836
235,rest,87779
236,true,87326
237,possibl,87001
238,hundr,86596
239,walk,86186
240,togeth,85921
241,sent,85799
242,chang,85787
243,began,85747
244,round,85665
245,need,85263
246,bodi,84991
247,felt,84833
248,often,84818
249,play,84689
250,certain,84450
251,thou,83847
252,inde,83840
253,women,83700
254,number,83163
255,church,82870
256,desir,82400
257,1,82308
258,town,82271
259,hors,81595
260,stood,81106
261,enter,81063
262,four,81023
263,feet,80659
264,money,80288
265,express,80185
266,spirit,80092
267,within,79957
268,river,79942
269,children,79921
270,author,79600
271,manner,79519
272,hold,79170
273,dear,79151
274,meet,79005
275,command,78434
276,lay,77977
277,suppos,77890
278,write,77827
279,famili,77767
280,run,77390
281,along,77198
282,known,77166
283,anyth,76927
284,help,76865
285,second,76831
286,mile,76767
287,therefor,76455
288,observ,76450
289,wonder,76345
290,nation,76200
291,bring,76087
292,doubt,75698
293,english,75477
294,age,75429
295,john,75193
296,direct,75168
297,alon,75134
298,master,75133
299,gone,74314
300,smile,74271
301,public,74020
302,whether,73950
303,wait,73923
304,human,73762
305,thousand,73656
306,ground,73184
307,dark,73025
308,armi,72990
309,move,72794
310,happi,72612
311,sea,72346
312,least,72173
313,idea,71881
314,account,71730
315,alreadi,71509
316,charact,71455
317,learn,71413
318,air,71391
319,respect,71338
320,soul,71211
321,effect,71206
322,child,70781
323,parti,70731
324,either,70279
325,england,69988
326,thi,69377
327,brother,69041
328,truth,68937
329,sound,68929
330,object,68912
331,tree,68851
332,pleas,68822
333,rememb,68655
334,captain,68546
335,expect,68430
336,fall,68326
337,lie,67813
338,view,67735
339,import,67724
340,stori,67587
341,held,67475
342,ship,67224
343,laugh,67115
344,understand,67045
345,note,66174
346,except,66089
347,begin,65859
348,enemi,65833
349,arriv,65821
350,posit,65529
351,behind,65409
352,lost,65375
353,sens,65034
354,five,64822
355,black,64821
356,becam,64805
357,unit,64691
358,street,64623
359,minut,64529
360,bear,64453
361,fine,64271
362,possess,64249
363,art,64189
364,besid,64188
365,success,64037
366,watch,63953
367,road,63693
368,2,63667
369,remark,63464
370,consid,63339
371,late,63279
372,bed,63128
373,step,63111
374,island,63084
375,dead,63053
376,ad,62934
377,court,62878
378,chapter,62747
379,purpos,62542
380,regard,62490
381,short,62405
382,french,62228
383,sometim,61878
384,stop,61821
385,common,61710
386,servic,61699
387,footnot,61444
388,mere,61117
389,sort,60966
390,month,60357
391,save,60203
392,paper,60007
393,franc,59904
394,around,59859
395,clear,59853
396,duti,59704
397,fell,59485
398,allow,59352
399,compani,59245
400,sat,59104
401,p,58829
402,st,58784
403,probabl,58643
404,happen,58435
405,offer,58414
406,strong,58328
407,hard,58248
408,visit,58203
409,realli,58170
410,start,58064
411,kept,57991
412,suffer,57529
413,march,57292
414,sit,57229
415,necessari,57196
416,cut,57067
417,earli,56984
418,c,56930
419,marri,56821
420,princ,56787
421,readi,56785
422,earth,56741
423,relat,56705
424,abl,56693
425,ten,56615
426,histori,56571
427,sight,56499
428,condit,56184
429,peac,56088
430,danger,56062
431,troubl,56029
432,free,55878
433,met,55858
434,fellow,55705
435,strang,55630
436,exist,55566
437,rose,55544
438,husband,55170
439,tabl,55148
440,cross,54980
441,evid,54971
442,indian,54907
443,wind,54893
444,wall,54786
445,cover,54748
446,faith,54659
447,hill,54506
448,opinion,54162
449,south,53906
450,thee,53622
451,school,53085
452,rais,52895
453,week,52872
454,prepar,52651
455,daughter,52526
456,consider,52315
457,wood,52314
458,pleasur,52312
459,window,52211
460,fill,52186
461,inform,52132
462,immedi,52067
463,admir,51985
464,usual,51873
465,touch,51604
466,later,51436
467,across,51335
468,suddenli,51290
469,ought,51176
470,complet,51132
471,polit,51113
472,promis,50914
473,mark,50909
474,kill,50671
475,mountain,50616
476,everyth,50613
477,declar,50608
478,six,50464
479,occas,50462
480,rise,50377
481,piec,50203
482,field,50202
483,madam,50188
484,past,50158
485,although,50133
486,heaven,50129
487,cold,50002
488,pay,49571
489,north,49513
490,equal,49460
491,attent,49341
492,accord,49272
493,imagin,49250
494,result,49207
495,fair,49033
496,la,48995
497,send,48926
498,prove,48874
499,neither,48826
500,none,48747
501,lead,48689
502,serv,48594
503,travel,48493
504,beyond,48468
505,practic,48395
506,american,48375
507,els,48279
508,soldier,48230
509,origin,48153
510,chief,48068
511,pain,48027
512,deep,47953
513,entir,47934
514,notic,47853
515,mine,47819
516,forward,47688
517,slave,47619
518,attempt,47515
519,fight,47428
520,longer,47384
521,studi,47295
522,nearli,47170
523,illustr,47133
524,dress,47087
525,london,47044
526,listen,46940
527,stay,46905
528,report,46706
529,figur,46697
530,red,46601
531,ca,46437
532,christian,46419
533,spoke,46337
534,produc,46331
535,judg,46326
536,experi,46221
537,sun,46197
538,advanc,46197
539,fortun,46142
540,pretti,46050
541,afterward,46043
542,surpris,45953
543,cloth,45787
544,knowledg,45764
545,3,45676
546,thank,45499
547,requir,45297
548,bad,45265
549,stone,45027
550,front,44887
551,real,44866
552,charg,44849
553,societi,44804
554,repres,44795
555,sleep,44787
556,anim,44644
557,action,44493
558,low,44478
559,affect,44260
560,pictur,43992
561,ii,43832
562,rule,43826
563,born,43691
564,concern,43662
565,certainli,43574
566,influenc,43558
567,nativ,43523
568,blood,43471
569,mention,43453
570,written,43402
571,queen,43367
572,sister,43359
573,chanc,43224
574,honour,43109
575,proceed,43072
576,boat,42983
577,battl,42735
578,delight,42648
579,grow,42515
580,foot,42415
581,distanc,42349
582,build,42300
583,deal,42245
584,affair,42219
585,escap,42148
586,degre,42128
587,dr,42006
588,sign,41936
589,scene,41928
590,west,41926
591,suggest,41903
592,prison,41889
593,servant,41817
594,german,41801
595,seat,41790
596,determin,41746
597,employ,41637
598,discov,41587
599,doctor,41502
600,wit,41468
601,passion,41451
602,drop,41446
603,dream,41416
604,sweet,41277
605,hair,41232
606,tear,41181
607,plan,41164
608,attack,41118
609,circumst,41074
610,term,40965
611,rich,40948
612,latter,40919
613,convers,40917
614,gentleman,40872
615,led,40847
616,class,40823
617,mari,40817
618,dinner,40698
619,secur,40684
620,constitut,40683
621,breath,40672
622,gold,40606
623,final,40581
624,wild,40476
625,demand,40469
626,big,40441
627,attend,40343
628,plain,40322
629,laid,40291
630,accept,40251
631,belong,40221
632,commun,40124
633,forth,40091
634,train,40067
635,period,40020
636,n,40000
637,rock,39994
638,length,39992
639,joy,39956
640,fit,39879
641,measur,39871
642,increas,39743
643,garden,39721
644,especi,39721
645,member,39710
646,pari,39656
647,ear,39632
648,fail,39598
649,silenc,39455
650,youth,39277
651,flower,39173
652,principl,39169
653,establish,39157
654,bank,39133
655,consequ,39089
656,obtain,39073
657,refus,38922
658,secret,38909
659,approach,38875
660,engag,38826
661,centuri,38796
662,villag,38764
663,camp,38675
664,green,38504
665,greater,38443
666,draw,38380
667,grace,38342
668,suffici,38314
669,perfect,38308
670,spring,38191
671,presid,37969
672,provid,37969
673,ago,37893
674,dog,37847
675,moral,37791
676,languag,37744
677,ill,37728
678,glad,37726
679,strength,37636
680,support,37620
681,particular,37606
682,break,37559
683,excit,37551
684,contain,37543
685,lip,37495
686,whatev,37439
687,enjoy,37298
688,glanc,37218
689,4,37087
690,georg,37060
691,hall,37009
692,instead,36882
693,today,36713
694,burn,36636
695,bird,36559
696,wound,36514
697,comfort,36380
698,address,36344
699,scarc,36278
700,wrong,36241
701,duke,36239
702,wrote,36185
703,oblig,36162
704,press,36037
705,mouth,36008
706,join,35994
707,explain,35988
708,ran,35850
709,conduct,35840
710,roman,35817
711,effort,35788
712,board,35785
713,difficulti,35671
714,admit,35626
715,excel,35622
716,civil,35609
717,memori,35583
718,impress,35530
719,depart,35509
720,ah,35453
721,crowd,35368
722,gain,35345
723,william,35329
724,privat,35277
725,hardli,35117
726,futur,35084
727,nobl,35070
728,shoulder,35032
729,troop,34995
730,univers,34990
731,dare,34969
732,confid,34826
733,situat,34715
734,imposs,34714
735,le,34700
736,race,34694
737,suppli,34642
738,third,34605
739,event,34564
740,refer,34531
741,heavi,34524
742,ancient,34516
743,variou,34494
744,eat,34462
745,brown,34432
746,york,34382
747,grant,34355
748,tone,34298
749,describ,34175
750,count,34160
751,content,34147
752,arrang,34132
753,twenti,33893
754,remov,33834
755,examin,33816
756,guard,33766
757,presenc,33725
758,blue,33699
759,exclaim,33680
760,silent,33652
761,claim,33651
762,poet,33635
763,propos,33547
764,fanci,33447
765,speech,33438
766,fresh,33424
767,connect,33412
768,east,33394
769,repeat,33391
770,bound,33364
771,extrem,33291
772,opposit,33223
773,trust,33180
774,former,33166
775,evil,33164
776,advantag,33143
777,shore,33114
778,passag,33073
779,movement,33071
780,frequent,33068
781,honor,33066
782,music,33051
783,singl,32918
784,protect,32847
785,assist,32750
786,system,32655
787,intend,32630
788,drew,32588
789,grave,32587
790,minist,32531
791,marriag,32472
792,colonel,32397
793,habit,32368
794,easi,32279
795,prevent,32268
796,journey,32241
797,henri,32218
798,drink,32217
799,uncl,32210
800,afternoon,32126
801,chair,32037
802,bless,32028
803,properti,31963
804,top,31949
805,educ,31921
806,settl,31906
807,valu,31762
808,justic,31725
809,trade,31624
810,fix,31529
811,proper,31508
812,quarter,31481
813,sail,31436
814,struck,31281
815,broken,31265
816,gather,31261
817,perform,31165
818,collect,31115
819,forest,31057
820,bright,31038
821,quiet,30884
822,emperor,30877
823,separ,30876
824,simpl,30850
825,sing,30830
826,individu,30802
827,agre,30771
828,worth,30771
829,decid,30758
830,slowli,30724
831,paid,30699
832,succeed,30691
833,caught,30662
834,tast,30661
835,vessel,30612
836,cast,30605
837,afraid,30589
838,exampl,30548
839,execut,30532
840,british,30499
841,food,30417
842,e,30409
843,instanc,30393
844,wo,30377
845,assur,30375
846,appoint,30317
847,stream,30304
848,bill,30300
849,foreign,30285
850,goe,30275
851,charm,30189
852,forget,30183
853,religion,30161
854,seven,30144
855,safe,30066
856,charl,30050
857,lower,29946
858,acquaint,29908
859,corner,29891
860,finish,29891
861,opportun,29889
862,add,29879
863,wide,29852
864,greatest,29834
865,summer,29761
866,dri,29736
867,spot,29715
868,actual,29671
869,5,29580
870,easili,29537
871,manag,29448
872,companion,29435
873,render,29382
874,divin,29353
875,accompani,29331
876,lake,29313
877,develop,29267
878,royal,29259
879,song,29229
880,blow,29153
881,seek,29096
882,washington,29036
883,et,28986
884,articl,28985
885,hath,28977
886,unless,28920
887,somewhat,28911
888,winter,28910
889,design,28883
890,pray,28869
891,treat,28854
892,strike,28783
893,weak,28778
894,reflect,28775
895,occupi,28773
896,bit,28701
897,publish,28639
898,militari,28605
899,lose,28599
900,w,28578
901,outsid,28573
902,occur,28557
903,danc,28506
904,modern,28473
905,holi,28455
906,coast,28434
907,absolut,28339
908,struggl,28323
909,appar,28315
910,rang,28298
911,grew,28289
912,major,28278
913,fli,28267
914,sudden,28174
915,glass,28165
916,news,28109
917,intent,28100
918,jame,28095
919,iii,28087
920,finger,28080
921,color,28062
922,game,28062
923,eight,28005
924,oclock,27967
925,destroy,27918
926,favour,27914
927,compar,27890
928,paint,27875
929,special,27863
930,gun,27843
931,liberti,27815
932,pound,27747
933,shot,27706
934,roll,27602
935,writer,27598
936,loss,27567
937,consist,27554
938,plant,27506
939,ignor,27494
940,gate,27490
941,majesti,27487
942,utter,27459
943,creatur,27436
944,grand,27381
945,hot,27380
946,crown,27375
947,middl,27373
948,due,27344
949,tom,27343
950,dread,27272
951,fish,27225
952,mysteri,27195
953,fashion,27193
954,valley,27192
955,devot,27143
956,instruct,27133
957,qualiti,27105
958,senat,27104
959,bow,27080
960,virtu,27060
961,organ,27035
962,meant,27034
963,preserv,26993
964,season,26988
965,cheer,26963
966,sky,26915
967,v,26906
968,terribl,26899
969,throw,26895
970,exercis,26891
971,ruin,26881
972,christ,26840
973,kiss,26832
974,governor,26797
975,quickli,26794
976,depend,26752
977,wave,26727
978,mount,26698
979,method,26655
980,whisper,26647
981,rush,26629
982,fast,26628
983,lift,26621
984,stranger,26585
985,seiz,26537
986,social,26478
987,distinguish,26461
988,floor,26443
989,custom,26408
990,reader,26399
991,greek,26398
992,america,26396
993,difficult,26386
994,gaze,26380
995,page,26374
996,wise,26340
997,share,26323
998,6,26291
999,beat,26258
